FROM_STOP_ID,TO_STOP_ID,TRAVEL_TIME
DEP10001,STP70611,24
DEP10001,STP70628,21
DEP10001,STP70644,7
DEP10001,STP70664,502
DEP10001,STP70674,490
DEP10001,STP70679,24
DEP10001,STP70687,126
DEP10001,STP70693,22
DEP10001,STP70728,502
DEP10022,DEP10001,510
DEP10022,DEP10022,0
DEP10022,DEP25005,32
DEP10022,DEP35024,452
DEP10022,DEP45024,510
DEP10022,DEP50002,452
DEP10022,STP62369,57
DEP10022,STP62829,459
DEP10022,STP63844,74
DEP10022,STP63889,25
DEP10022,STP64338,458
DEP10022,STP64718,28
DEP10022,STP65581,504
DEP10022,STP65701,31
DEP10022,STP66082,17
DEP10022,STP66121,454
DEP10022,STP66273,445
DEP10022,STP66307,506
DEP10022,STP66419,49
DEP10022,STP66572,465
DEP10022,STP66649,43
DEP10022,STP66756,31
DEP10022,STP67121,431
DEP10022,STP67261,526
DEP10022,STP67306,44
DEP10022,STP67469,456
DEP10022,STP67588,440
DEP10022,STP67689,32
DEP10022,STP67850,487
DEP10022,STP67867,35
DEP10022,STP67872,515
DEP10022,STP67962,15
DEP10022,STP68012,42
DEP10022,STP68071,508
DEP10022,STP68310,24
DEP10022,STP68366,35
DEP10022,STP68418,452
DEP10022,STP68482,505
DEP10022,STP68587,30
DEP10022,STP68664,507
DEP10022,STP68791,495
DEP10022,STP68814,506
DEP10022,STP68816,460
DEP10022,STP68819,34
DEP10022,STP68855,457
DEP10022,STP68973,500
DEP10022,STP69025,457
DEP10022,STP69112,512
DEP10022,STP69122,441
DEP10022,STP69214,34
DEP10022,STP69217,20
DEP10022,STP69242,14
DEP10022,STP69244,504
DEP10022,STP69273,29
DEP10022,STP69281,451
DEP10022,STP69288,509
DEP10022,STP69307,443
DEP10022,STP69310,40
DEP10022,STP69339,24
DEP10022,STP69342,435
DEP10022,STP69343,37
DEP10022,STP69350,506
DEP10022,STP69424,16
DEP10022,STP69459,459
DEP10022,STP69504,502
DEP10022,STP69538,51
DEP10022,STP69545,38
DEP10022,STP69566,12
DEP10022,STP69567,502
DEP10022,STP69584,26
DEP10022,STP69593,511
DEP10022,STP69598,13
DEP10022,STP69604,26
DEP10022,STP69612,13
DEP10022,STP69621,45
DEP10022,STP69625,25
DEP10022,STP69650,17
DEP10022,STP69661,32
DEP10022,STP69664,440
DEP10022,STP69668,498
DEP10022,STP69677,444
DEP10022,STP69710,511
DEP10022,STP69715,22
DEP10022,STP69759,446
DEP10022,STP69795,35
DEP10022,STP69799,14
DEP10022,STP69824,497
DEP10022,STP69828,462
DEP10022,STP69835,507
DEP10022,STP69842,21
DEP10022,STP69846,498
DEP10022,STP69857,512
DEP10022,STP69873,32
DEP10022,STP69890,438
DEP10022,STP69892,462
DEP10022,STP69894,51
DEP10022,STP69898,45
DEP10022,STP69910,35
DEP10022,STP69921,431
DEP10022,STP69923,60
DEP10022,STP69927,450
DEP10022,STP69934,37
DEP10022,STP69940,14
DEP10022,STP69943,28
DEP10022,STP69946,432
DEP10022,STP69963,28
DEP10022,STP69964,503
DEP10022,STP69973,504
DEP10022,STP69984,36
DEP10022,STP69989,449
DEP10022,STP70001,514
DEP10022,STP70008,520
DEP10022,STP70024,53
DEP10022,STP70026,519
DEP10022,STP70030,33
DEP10022,STP70055,33
DEP10022,STP70067,37
DEP10022,STP70072,519
DEP10022,STP70073,39
DEP10022,STP70076,459
DEP10022,STP70082,459
DEP10022,STP70102,25
DEP10022,STP70122,39
DEP10022,STP70144,36
DEP10022,STP70151,516
DEP10022,STP70173,33
DEP10022,STP70178,507
DEP10022,STP70189,507
DEP10022,STP70197,37
DEP10022,STP70200,7
DEP10022,STP70202,30
DEP10022,STP70203,14
DEP10022,STP70206,15
DEP10022,STP70208,31
DEP10022,STP70211,500
DEP10022,STP70227,37
DEP10022,STP70228,24
DEP10022,STP70240,25
DEP10022,STP70252,447
DEP10022,STP70255,31
DEP10022,STP70258,493
DEP10022,STP70259,492
DEP10022,STP70261,493
DEP10022,STP70265,459
DEP10022,STP70267,505
DEP10022,STP70274,504
DEP10022,STP70275,36
DEP10022,STP70277,48
DEP10022,STP70286,514
DEP10022,STP70301,20
DEP10022,STP70309,436
DEP10022,STP70311,497
DEP10022,STP70326,443
DEP10022,STP70335,510
DEP10022,STP70336,45
DEP10022,STP70348,492
DEP10022,STP70355,12
DEP10022,STP70359,44
DEP10022,STP70366,20
DEP10022,STP70387,37
DEP10022,STP70390,526
DEP10022,STP70398,465
DEP10022,STP70400,45
DEP10022,STP70406,24
DEP10022,STP70412,511
DEP10022,STP70415,499
DEP10022,STP70434,445
DEP10022,STP70446,505
DEP10022,STP70451,37
DEP10022,STP70488,460
DEP10022,STP70489,508
DEP10022,STP70495,438
DEP10022,STP70498,492
DEP10022,STP70501,439
DEP10022,STP70503,514
DEP10022,STP70506,20
DEP10022,STP70513,509
DEP10022,STP70525,26
DEP10022,STP70529,504
DEP10022,STP70533,506
DEP10022,STP70535,35
DEP10022,STP70539,50
DEP10022,STP70565,41
DEP10022,STP70566,40
DEP10022,STP70573,36
DEP10022,STP70598,10
DEP10022,STP70611,493
DEP10022,STP70628,500
DEP10022,STP70644,513
DEP10022,STP70664,20
DEP10022,STP70674,32
DEP10022,STP70679,499
DEP10022,STP70687,438
DEP10022,STP70693,499
DEP10022,STP70728,26
DEP25005,DEP10001,487
DEP25005,DEP10022,27
DEP25005,DEP25005,0
DEP25005,DEP35024,430
DEP25005,DEP45024,487
DEP25005,DEP50002,430
DEP25005,STP62369,22
DEP25005,STP62829,438
DEP25005,STP63844,38
DEP25005,STP63889,8
DEP25005,STP64338,437
DEP25005,STP64718,17
DEP25005,STP65581,481
DEP25005,STP65701,4
DEP25005,STP66082,22
DEP25005,STP66121,433
DEP25005,STP66273,422
DEP25005,STP66307,484
DEP25005,STP66419,17
DEP25005,STP66572,444
DEP25005,STP66649,20
DEP25005,STP66756,22
DEP25005,STP67121,409
DEP25005,STP67261,503
DEP25005,STP67306,22
DEP25005,STP67469,434
DEP25005,STP67588,425
DEP25005,STP67689,15
DEP25005,STP67850,466
DEP25005,STP67867,17
DEP25005,STP67872,493
DEP25005,STP67962,33
DEP25005,STP68012,21
DEP25005,STP68071,485
DEP25005,STP68310,17
DEP25005,STP68366,16
DEP25005,STP68418,430
DEP25005,STP68482,482
DEP25005,STP68587,38
DEP25005,STP68664,485
DEP25005,STP68791,472
DEP25005,STP68814,484
DEP25005,STP68816,439
DEP25005,STP68819,35
DEP25005,STP68855,440
DEP25005,STP68973,478
DEP25005,STP69025,436
DEP25005,STP69112,489
DEP25005,STP69122,419
DEP25005,STP69214,6
DEP25005,STP69217,41
DEP25005,STP69242,33
DEP25005,STP69244,481
DEP25005,STP69273,34
DEP25005,STP69281,430
DEP25005,STP69288,487
DEP25005,STP69307,421
DEP25005,STP69310,13
DEP25005,STP69339,17
DEP25005,STP69342,413
DEP25005,STP69343,38
DEP25005,STP69350,484
DEP25005,STP69424,22
DEP25005,STP69459,438
DEP25005,STP69504,480
DEP25005,STP69538,21
DEP25005,STP69545,20
DEP25005,STP69566,16
DEP25005,STP69567,480
DEP25005,STP69584,26
DEP25005,STP69593,488
DEP25005,STP69598,19
DEP25005,STP69604,34
DEP25005,STP69612,39
DEP25005,STP69621,27
DEP25005,STP69625,23
DEP25005,STP69650,12
DEP25005,STP69661,18
DEP25005,STP69664,418
DEP25005,STP69668,475
DEP25005,STP69677,422
DEP25005,STP69710,489
DEP25005,STP69715,19
DEP25005,STP69759,425
DEP25005,STP69795,5
DEP25005,STP69799,18
DEP25005,STP69824,475
DEP25005,STP69828,440
DEP25005,STP69835,485
DEP25005,STP69842,23
DEP25005,STP69846,476
DEP25005,STP69857,489
DEP25005,STP69873,16
DEP25005,STP69890,416
DEP25005,STP69892,441
DEP25005,STP69894,20
DEP25005,STP69898,18
DEP25005,STP69910,36
DEP25005,STP69921,409
DEP25005,STP69923,14
DEP25005,STP69927,429
DEP25005,STP69934,38
DEP25005,STP69940,21
DEP25005,STP69943,24
DEP25005,STP69946,410
DEP25005,STP69963,6
DEP25005,STP69964,480
DEP25005,STP69973,482
DEP25005,STP69984,9
DEP25005,STP69989,428
DEP25005,STP70001,491
DEP25005,STP70008,498
DEP25005,STP70024,18
DEP25005,STP70026,496
DEP25005,STP70030,21
DEP25005,STP70055,16
DEP25005,STP70067,9
DEP25005,STP70072,496
DEP25005,STP70073,14
DEP25005,STP70076,437
DEP25005,STP70082,437
DEP25005,STP70102,24
DEP25005,STP70122,43
DEP25005,STP70144,17
DEP25005,STP70151,493
DEP25005,STP70173,15
DEP25005,STP70178,485
DEP25005,STP70189,485
DEP25005,STP70197,11
DEP25005,STP70200,23
DEP25005,STP70202,12
DEP25005,STP70203,20
DEP25005,STP70206,24
DEP25005,STP70208,37
DEP25005,STP70211,477
DEP25005,STP70227,26
DEP25005,STP70228,11
DEP25005,STP70240,21
DEP25005,STP70252,426
DEP25005,STP70255,31
DEP25005,STP70258,471
DEP25005,STP70259,469
DEP25005,STP70261,471
DEP25005,STP70265,439
DEP25005,STP70267,482
DEP25005,STP70274,482
DEP25005,STP70275,37
DEP25005,STP70277,15
DEP25005,STP70286,491
DEP25005,STP70301,20
DEP25005,STP70309,414
DEP25005,STP70311,474
DEP25005,STP70326,422
DEP25005,STP70335,487
DEP25005,STP70336,62
DEP25005,STP70348,470
DEP25005,STP70355,25
DEP25005,STP70359,16
DEP25005,STP70366,22
DEP25005,STP70387,10
DEP25005,STP70390,504
DEP25005,STP70398,443
DEP25005,STP70400,16
DEP25005,STP70406,22
DEP25005,STP70412,488
DEP25005,STP70415,476
DEP25005,STP70434,423
DEP25005,STP70446,483
DEP25005,STP70451,7
DEP25005,STP70488,439
DEP25005,STP70489,485
DEP25005,STP70495,416
DEP25005,STP70498,470
DEP25005,STP70501,417
DEP25005,STP70503,492
DEP25005,STP70506,11
DEP25005,STP70513,486
DEP25005,STP70525,33
DEP25005,STP70529,481
DEP25005,STP70533,484
DEP25005,STP70535,16
DEP25005,STP70539,19
DEP25005,STP70565,40
DEP25005,STP70566,12
DEP25005,STP70573,17
DEP25005,STP70598,41
DEP25005,STP70611,470
DEP25005,STP70628,477
DEP25005,STP70644,490
DEP25005,STP70664,11
DEP25005,STP70674,17
DEP25005,STP70679,476
DEP25005,STP70687,416
DEP25005,STP70693,477
DEP25005,STP70728,26
DEP35024,DEP10001,132
DEP35024,DEP10022,466
DEP35024,DEP25005,445
DEP35024,DEP35024,0
DEP35024,DEP45024,132
DEP35024,DEP50002,0
DEP35024,STP62369,431
DEP35024,STP62829,8
DEP35024,STP63844,437
DEP35024,STP63889,448
DEP35024,STP64338,19
DEP35024,STP64718,441
DEP35024,STP65581,145
DEP35024,STP65701,441
DEP35024,STP66082,451
DEP35024,STP66121,41
DEP35024,STP66273,25
DEP35024,STP66307,155
DEP35024,STP66419,444
DEP35024,STP66572,9
DEP35024,STP66649,428
DEP35024,STP66756,453
DEP35024,STP67121,46
DEP35024,STP67261,126
DEP35024,STP67306,426
DEP35024,STP67469,39
DEP35024,STP67588,47
DEP35024,STP67689,436
DEP35024,STP67850,138
DEP35024,STP67867,434
DEP35024,STP67872,136
DEP35024,STP67962,454
DEP35024,STP68012,427
DEP35024,STP68071,122
DEP35024,STP68310,444
DEP35024,STP68366,437
DEP35024,STP68418,15
DEP35024,STP68482,129
DEP35024,STP68587,460
DEP35024,STP68664,128
DEP35024,STP68791,134
DEP35024,STP68814,143
DEP35024,STP68816,16
DEP35024,STP68819,446
DEP35024,STP68855,7
DEP35024,STP68973,129
DEP35024,STP69025,13
DEP35024,STP69112,133
DEP35024,STP69122,37
DEP35024,STP69214,440
DEP35024,STP69217,464
DEP35024,STP69242,455
DEP35024,STP69244,135
DEP35024,STP69273,462
DEP35024,STP69281,24
DEP35024,STP69288,133
DEP35024,STP69307,26
DEP35024,STP69310,434
DEP35024,STP69339,444
DEP35024,STP69342,33
DEP35024,STP69343,455
DEP35024,STP69350,124
DEP35024,STP69424,450
DEP35024,STP69459,17
DEP35024,STP69504,144
DEP35024,STP69538,437
DEP35024,STP69545,432
DEP35024,STP69566,455
DEP35024,STP69567,125
DEP35024,STP69584,450
DEP35024,STP69593,134
DEP35024,STP69598,458
DEP35024,STP69604,457
DEP35024,STP69612,460
DEP35024,STP69621,433
DEP35024,STP69625,462
DEP35024,STP69650,451
DEP35024,STP69661,458
DEP35024,STP69664,34
DEP35024,STP69668,134
DEP35024,STP69677,32
DEP35024,STP69710,133
DEP35024,STP69715,446
DEP35024,STP69759,22
DEP35024,STP69795,445
DEP35024,STP69799,456
DEP35024,STP69824,133
DEP35024,STP69828,11
DEP35024,STP69835,137
DEP35024,STP69842,452
DEP35024,STP69846,132
DEP35024,STP69857,133
DEP35024,STP69873,439
DEP35024,STP69890,37
DEP35024,STP69892,16
DEP35024,STP69894,437
DEP35024,STP69898,431
DEP35024,STP69910,448
DEP35024,STP69921,41
DEP35024,STP69923,440
DEP35024,STP69927,22
DEP35024,STP69934,448
DEP35024,STP69940,460
DEP35024,STP69943,450
DEP35024,STP69946,36
DEP35024,STP69963,442
DEP35024,STP69964,139
DEP35024,STP69973,146
DEP35024,STP69984,447
DEP35024,STP69989,22
DEP35024,STP70001,134
DEP35024,STP70008,133
DEP35024,STP70024,433
DEP35024,STP70026,134
DEP35024,STP70030,454
DEP35024,STP70055,437
DEP35024,STP70067,443
DEP35024,STP70072,134
DEP35024,STP70073,437
DEP35024,STP70076,15
DEP35024,STP70082,38
DEP35024,STP70102,462
DEP35024,STP70122,449
DEP35024,STP70144,437
DEP35024,STP70151,152
DEP35024,STP70173,437
DEP35024,STP70178,137
DEP35024,STP70189,133
DEP35024,STP70197,439
DEP35024,STP70200,461
DEP35024,STP70202,451
DEP35024,STP70203,451
DEP35024,STP70206,453
DEP35024,STP70208,461
DEP35024,STP70211,135
DEP35024,STP70227,444
DEP35024,STP70228,446
DEP35024,STP70240,460
DEP35024,STP70252,20
DEP35024,STP70255,458
DEP35024,STP70258,133
DEP35024,STP70259,134
DEP35024,STP70261,133
DEP35024,STP70265,37
DEP35024,STP70267,142
DEP35024,STP70274,131
DEP35024,STP70275,454
DEP35024,STP70277,435
DEP35024,STP70286,138
DEP35024,STP70301,459
DEP35024,STP70309,34
DEP35024,STP70311,139
DEP35024,STP70326,31
DEP35024,STP70335,134
DEP35024,STP70336,481
DEP35024,STP70348,138
DEP35024,STP70355,457
DEP35024,STP70359,438
DEP35024,STP70366,460
DEP35024,STP70387,444
DEP35024,STP70390,147
DEP35024,STP70398,8
DEP35024,STP70400,439
DEP35024,STP70406,445
DEP35024,STP70412,122
DEP35024,STP70415,132
DEP35024,STP70434,19
DEP35024,STP70446,126
DEP35024,STP70451,444
DEP35024,STP70488,17
DEP35024,STP70489,133
DEP35024,STP70495,32
DEP35024,STP70498,135
DEP35024,STP70501,41
DEP35024,STP70503,117
DEP35024,STP70506,450
DEP35024,STP70513,129
DEP35024,STP70525,456
DEP35024,STP70529,135
DEP35024,STP70533,124
DEP35024,STP70535,434
DEP35024,STP70539,437
DEP35024,STP70565,444
DEP35024,STP70566,444
DEP35024,STP70573,433
DEP35024,STP70598,461
DEP35024,STP70611,138
DEP35024,STP70628,141
DEP35024,STP70644,135
DEP35024,STP70664,450
DEP35024,STP70674,438
DEP35024,STP70679,135
DEP35024,STP70687,33
DEP35024,STP70693,133
DEP35024,STP70728,450
DEP45024,DEP10001,0
DEP45024,DEP10022,518
DEP45024,DEP25005,497
DEP45024,DEP35024,131
DEP45024,DEP45024,0
DEP45024,DEP50002,131
DEP45024,STP62369,483
DEP45024,STP62829,137
DEP45024,STP63844,489
DEP45024,STP63889,504
DEP45024,STP64338,138
DEP45024,STP64718,493
DEP45024,STP65581,23
DEP45024,STP65701,498
DEP45024,STP66082,503
DEP45024,STP66121,152
DEP45024,STP66273,135
DEP45024,STP66307,47
DEP45024,STP66419,496
DEP45024,STP66572,138
DEP45024,STP66649,480
DEP45024,STP66756,505
DEP45024,STP67121,141
DEP45024,STP67261,25
DEP45024,STP67306,478
DEP45024,STP67469,151
DEP45024,STP67588,147
DEP45024,STP67689,488
DEP45024,STP67850,28
DEP45024,STP67867,486
DEP45024,STP67872,10
DEP45024,STP67962,506
DEP45024,STP68012,479
DEP45024,STP68071,22
DEP45024,STP68310,496
DEP45024,STP68366,489
DEP45024,STP68418,129
DEP45024,STP68482,13
DEP45024,STP68587,512
DEP45024,STP68664,10
DEP45024,STP68791,19
DEP45024,STP68814,16
DEP45024,STP68816,138
DEP45024,STP68819,498
DEP45024,STP68855,136
DEP45024,STP68973,19
DEP45024,STP69025,135
DEP45024,STP69112,4
DEP45024,STP69122,143
DEP45024,STP69214,493
DEP45024,STP69217,516
DEP45024,STP69242,507
DEP45024,STP69244,15
DEP45024,STP69273,514
DEP45024,STP69281,132
DEP45024,STP69288,5
DEP45024,STP69307,121
DEP45024,STP69310,487
DEP45024,STP69339,496
DEP45024,STP69342,137
DEP45024,STP69343,507
DEP45024,STP69350,13
DEP45024,STP69424,503
DEP45024,STP69459,141
DEP45024,STP69504,24
DEP45024,STP69538,490
DEP45024,STP69545,484
DEP45024,STP69566,507
DEP45024,STP69567,15
DEP45024,STP69584,502
DEP45024,STP69593,7
DEP45024,STP69598,510
DEP45024,STP69604,510
DEP45024,STP69612,512
DEP45024,STP69621,485
DEP45024,STP69625,517
DEP45024,STP69650,503
DEP45024,STP69661,513
DEP45024,STP69664,128
DEP45024,STP69668,19
DEP45024,STP69677,141
DEP45024,STP69710,4
DEP45024,STP69715,498
DEP45024,STP69759,135
DEP45024,STP69795,498
DEP45024,STP69799,508
DEP45024,STP69824,23
DEP45024,STP69828,141
DEP45024,STP69835,10
DEP45024,STP69842,504
DEP45024,STP69846,22
DEP45024,STP69857,4
DEP45024,STP69873,492
DEP45024,STP69890,140
DEP45024,STP69892,138
DEP45024,STP69894,489
DEP45024,STP69898,484
DEP45024,STP69910,501
DEP45024,STP69921,133
DEP45024,STP69923,492
DEP45024,STP69927,134
DEP45024,STP69934,500
DEP45024,STP69940,512
DEP45024,STP69943,503
DEP45024,STP69946,134
DEP45024,STP69963,494
DEP45024,STP69964,28
DEP45024,STP69973,23
DEP45024,STP69984,499
DEP45024,STP69989,131
DEP45024,STP70001,7
DEP45024,STP70008,18
DEP45024,STP70024,492
DEP45024,STP70026,14
DEP45024,STP70030,506
DEP45024,STP70055,490
DEP45024,STP70067,495
DEP45024,STP70072,16
DEP45024,STP70073,489
DEP45024,STP70076,137
DEP45024,STP70082,150
DEP45024,STP70102,517
DEP45024,STP70122,501
DEP45024,STP70144,489
DEP45024,STP70151,25
DEP45024,STP70173,489
DEP45024,STP70178,10
DEP45024,STP70189,12
DEP45024,STP70197,491
DEP45024,STP70200,514
DEP45024,STP70202,510
DEP45024,STP70203,504
DEP45024,STP70206,505
DEP45024,STP70208,513
DEP45024,STP70211,25
DEP45024,STP70227,496
DEP45024,STP70228,499
DEP45024,STP70240,518
DEP45024,STP70252,131
DEP45024,STP70255,505
DEP45024,STP70258,23
DEP45024,STP70259,24
DEP45024,STP70261,23
DEP45024,STP70265,148
DEP45024,STP70267,15
DEP45024,STP70274,13
DEP45024,STP70275,506
DEP45024,STP70277,487
DEP45024,STP70286,9
DEP45024,STP70301,512
DEP45024,STP70309,138
DEP45024,STP70311,28
DEP45024,STP70326,134
DEP45024,STP70335,7
DEP45024,STP70336,534
DEP45024,STP70348,27
DEP45024,STP70355,509
DEP45024,STP70359,490
DEP45024,STP70366,512
DEP45024,STP70387,496
DEP45024,STP70390,20
DEP45024,STP70398,137
DEP45024,STP70400,491
DEP45024,STP70406,497
DEP45024,STP70412,20
DEP45024,STP70415,22
DEP45024,STP70434,119
DEP45024,STP70446,12
DEP45024,STP70451,499
DEP45024,STP70488,138
DEP45024,STP70489,10
DEP45024,STP70495,126
DEP45024,STP70498,25
DEP45024,STP70501,141
DEP45024,STP70503,25
DEP45024,STP70506,502
DEP45024,STP70513,14
DEP45024,STP70525,509
DEP45024,STP70529,15
DEP45024,STP70533,13
DEP45024,STP70535,486
DEP45024,STP70539,489
DEP45024,STP70565,496
DEP45024,STP70566,496
DEP45024,STP70573,485
DEP45024,STP70598,513
DEP45024,STP70611,24
DEP45024,STP70628,21
DEP45024,STP70644,7
DEP45024,STP70664,502
DEP45024,STP70674,490
DEP45024,STP70679,24
DEP45024,STP70687,126
DEP45024,STP70693,22
DEP45024,STP70728,502
DEP50002,DEP10001,132
DEP50002,DEP10022,466
DEP50002,DEP25005,445
DEP50002,DEP35024,0
DEP50002,DEP45024,132
DEP50002,DEP50002,0
DEP50002,STP62369,431
DEP50002,STP62829,8
DEP50002,STP63844,437
DEP50002,STP63889,448
DEP50002,STP64338,19
DEP50002,STP64718,441
DEP50002,STP65581,145
DEP50002,STP65701,441
DEP50002,STP66082,451
DEP50002,STP66121,41
DEP50002,STP66273,25
DEP50002,STP66307,155
DEP50002,STP66419,444
DEP50002,STP66572,9
DEP50002,STP66649,428
DEP50002,STP66756,453
DEP50002,STP67121,46
DEP50002,STP67261,126
DEP50002,STP67306,426
DEP50002,STP67469,39
DEP50002,STP67588,47
DEP50002,STP67689,436
DEP50002,STP67850,138
DEP50002,STP67867,434
DEP50002,STP67872,136
DEP50002,STP67962,454
DEP50002,STP68012,427
DEP50002,STP68071,122
DEP50002,STP68310,444
DEP50002,STP68366,437
DEP50002,STP68418,15
DEP50002,STP68482,129
DEP50002,STP68587,460
DEP50002,STP68664,128
DEP50002,STP68791,134
DEP50002,STP68814,143
DEP50002,STP68816,16
DEP50002,STP68819,446
DEP50002,STP68855,7
DEP50002,STP68973,129
DEP50002,STP69025,13
DEP50002,STP69112,133
DEP50002,STP69122,37
DEP50002,STP69214,440
DEP50002,STP69217,464
DEP50002,STP69242,455
DEP50002,STP69244,135
DEP50002,STP69273,462
DEP50002,STP69281,24
DEP50002,STP69288,133
DEP50002,STP69307,26
DEP50002,STP69310,434
DEP50002,STP69339,444
DEP50002,STP69342,33
DEP50002,STP69343,455
DEP50002,STP69350,124
DEP50002,STP69424,450
DEP50002,STP69459,17
DEP50002,STP69504,144
DEP50002,STP69538,437
DEP50002,STP69545,432
DEP50002,STP69566,455
DEP50002,STP69567,125
DEP50002,STP69584,450
DEP50002,STP69593,134
DEP50002,STP69598,458
DEP50002,STP69604,457
DEP50002,STP69612,460
DEP50002,STP69621,433
DEP50002,STP69625,462
DEP50002,STP69650,451
DEP50002,STP69661,458
DEP50002,STP69664,34
DEP50002,STP69668,134
DEP50002,STP69677,32
DEP50002,STP69710,133
DEP50002,STP69715,446
DEP50002,STP69759,22
DEP50002,STP69795,445
DEP50002,STP69799,456
DEP50002,STP69824,133
DEP50002,STP69828,11
DEP50002,STP69835,137
DEP50002,STP69842,452
DEP50002,STP69846,132
DEP50002,STP69857,133
DEP50002,STP69873,439
DEP50002,STP69890,37
